text,label
เพื่อนบอกว่า ทำงานเสร็จหรือยัง,0
ดีใจที่ได้เจอ มากเลย,0
นี่มัน เวรเอ้ย ชัดๆ,1
เพื่อนบอกว่า คิดถึงนะ,0
วันนี้ สู้ๆนะ,0
แม่ง ไอสัส,1
ทำไม มึงบ้า แบบนี้,1
วันนี้เรียนเป็นไงบ้าง,0
อยากจะบอกว่า ไปเที่ยวกัน,0
เลิกทำตัว สัส ได้แล้ว,1
หมาเอ้ย มาก,1
คิดถึงนะ นะ,0
ทำงานเสร็จหรือยัง,0
มึงนี่ ไอ้เหี้ย,1
โคตร ไอ้ควาย เลย,1
วันนี้ ไปกินข้าวกันไหม,0
คิดว่า กำลังดูหนังอยู่,0
ทำงานเสร็จหรือยัง,0
ไอ้ส้นตีน ชิบหาย,1
เป็นกำลังใจให้,0
กำลังจะ ไปกินข้าวกันไหม,0
กำลังจะ สวัสดีครับ,0
พักผ่อนเยอะๆนะ มากเลย,0
เพื่อนบอกว่า เป็นกำลังใจให้,0
อยากจะบอกว่า คิดถึงนะ,0
ยินดีด้วย,0
อยากจะบอกว่า ขอให้โชคดี,0
เวรเอ้ย จริงๆ,1
อยากจะบอกว่า วันนี้อากาศดี,0
แม่ง เวรเอ้ย,1
สัส ว่ะ,1
มึงโง่ ชิบหาย,1
คิดว่า ทำงานเสร็จหรือยัง,0
หวังว่า ขอบคุณมาก,0
กำลังจะ ไปเที่ยวกัน,0
เลิกทำตัว โง่ ได้แล้ว,1
มึงนี่ โง่,1
แม่ง ไอ้เหี้ย,1
โคตร ไอ้ควาย เลย,1
อยากจะบอกว่า ขอบคุณสำหรับความช่วยเหลือ,0
ห่วยแตก ชิบหาย,1
มึงนี่ ไอ้ส้นตีน,1
โคตร มึงบ้า เลย,1
แม่ง ไอ้เวร,1
อยากจะบอกว่า กินข้าวหรือยัง,0
ไอ้บัดซบ ว่ะ,1
คิดว่า ไปเที่ยวกัน,0
อยากจะบอกว่า ไปกินข้าวกันไหม,0
กินข้าวหรือยัง นะ,0
มึงนี่ เวรเอ้ย,1
ไอ้บัดซบ มาก,1
กินข้าวหรือยัง มากเลย,0
หวังว่า คิดถึงนะ,0
มึงนี่ ไอ้ส้นตีน,1
ไอ้ควาย มาก,1
เลิกทำตัว ไอ้บัดซบ ได้แล้ว,1
มึงนี่ หมาเอ้ย,1
คิดว่า เกมนี้สนุกมาก,0
เพื่อนบอกว่า วันนี้เรียนเป็นไงบ้าง,0
ไอ้เวร ชิบหาย,1
อยากจะบอกว่า กำลังดูหนังอยู่,0
กำลังจะ วันนี้อากาศดี,0
คิดว่า สวัสดีครับ,0
ควาย มาก,1
วันนี้อากาศดี นะ,0
ส้นตีน ว่ะ,1
โคตร โง่ เลย,1
ขอบคุณสำหรับความช่วยเหลือ มากเลย,0
นี่มัน สัส ชัดๆ,1
มึงนี่ ห่วยแตก,1
นี่มัน ควาย ชัดๆ,1
หมาเอ้ย จริงๆ,1
วันนี้ ดูแลตัวเองด้วย,0
เกมนี้สนุกมาก,0
เลิกทำตัว เหี้ย ได้แล้ว,1
ทำไม ไอ้เวร แบบนี้,1
ไปเที่ยวกัน,0
แม่ง ไอ้บัดซบ,1
เวรเอ้ย มาก,1
ไอ้บ้า ชิบหาย,1
หวังว่า ไปเที่ยวกัน,0
เพื่อนบอกว่า ขอให้โชคดี,0
รู้สึกว่า ขอบคุณสำหรับความช่วยเหลือ,0
หวังว่า วันนี้อากาศดี,0
บัดซบ ว่ะ,1
หวังว่า ไปกินข้าวกันไหม,0
มึงนี่ ไอ้เวร,1
เลิกทำตัว เวรเอ้ย ได้แล้ว,1
วันนี้ เกมนี้สนุกมาก,0
อยากจะบอกว่า กินข้าวหรือยัง,0
กำลังจะ พักผ่อนเยอะๆนะ,0
เลิกทำตัว ไอ้เหี้ย ได้แล้ว,1
คิดว่า สวัสดีครับ,0
วันนี้ วันนี้เรียนเป็นไงบ้าง,0
คิดว่า วันนี้เรียนเป็นไงบ้าง,0
วันนี้ กินข้าวหรือยัง,0
ไอ้เหี้ย ชิบหาย,1
อยากจะบอกว่า ไปเที่ยวกัน,0
หวังว่า ดูแลตัวเองด้วย,0
วันนี้อากาศดี,0
เกมนี้สนุกมาก มากเลย,0
กำลังจะ ดูแลตัวเองด้วย,0
โคตรห่วย ว่ะ,1
มึงนี่ ไอ้ส้นตีน,1
แม่ง เวรเอ้ย,1
ส้นตีน ชิบหาย,1
มึงโง่ ชิบหาย,1
มึงบ้า ชิบหาย,1
วันนี้ กินข้าวหรือยัง,0
อยากจะบอกว่า สู้ๆนะ,0
ส้นตีน จริงๆ,1
คิดว่า ขอบคุณสำหรับความช่วยเหลือ,0
ไอ้เวร ชิบหาย,1
คิดว่า เป็นกำลังใจให้,0
โคตร มึงบ้า เลย,1
อยากจะบอกว่า กินข้าวหรือยัง,0
รู้สึกว่า เกมนี้สนุกมาก,0
แม่ง สัส,1
มึงบ้า ว่ะ,1
กินข้าวหรือยัง,0
หวังว่า ขอให้โชคดี,0
ขอบคุณมาก,0
คิดถึงนะ มากเลย,0
ทำไม บัดซบ แบบนี้,1
ทำไม ไอ้บัดซบ แบบนี้,1
มึงโง่ ชิบหาย,1
ไอ้บัดซบ จริงๆ,1
แม่ง ห่วยแตก,1
รู้สึกว่า ไปเที่ยวกัน,0
ทำไม บัดซบ แบบนี้,1
ไอ้บ้า มาก,1
รู้สึกว่า ดูแลตัวเองด้วย,0
ทำไม หมาเอ้ย แบบนี้,1
เจอกันพรุ่งนี้,0
ดูแลตัวเองด้วย นะ,0
พักผ่อนเยอะๆนะ,0
คิดว่า วันนี้เรียนเป็นไงบ้าง,0
โคตร โคตรห่วย เลย,1
กำลังจะ สู้ๆนะ,0
นี่มัน ส้นตีน ชัดๆ,1
โคตร มึงบ้า เลย,1
ไอ้เวร มาก,1
นี่มัน ไอ้หมา ชัดๆ,1
แม่ง มึงบ้า,1
เพื่อนบอกว่า ดีใจที่ได้เจอ,0
มึงนี่ ไอ้ควาย,1
ดูแลตัวเองด้วย มากเลย,0
ยินดีด้วย,0
รู้สึกว่า เจอกันพรุ่งนี้,0
ดูแลตัวเองด้วย นะ,0
หวังว่า กำลังดูหนังอยู่,0
มึงนี่ เวรเอ้ย,1
โคตร เวรเอ้ย เลย,1
หวังว่า เป็นกำลังใจให้,0
ไอ้ส้นตีน ว่ะ,1
กำลังจะ คิดถึงนะ,0
เหี้ย มาก,1
แม่ง เหี้ย,1
ไปเที่ยวกัน มากเลย,0
หวังว่า สู้ๆนะ,0
กำลังจะ เกมนี้สนุกมาก,0
แม่ง ไอ้ส้นตีน,1
อยากจะบอกว่า สู้ๆนะ,0
บัดซบ ชิบหาย,1
นี่มัน เหี้ย ชัดๆ,1
โคตร เหี้ย เลย,1
เป็นกำลังใจให้,0
คิดว่า ยินดีด้วย,0
นี่มัน มึงบ้า ชัดๆ,1
มึงบ้า ว่ะ,1
ไอสัส ว่ะ,1
ไอสัส จริงๆ,1
สัส มาก,1
ไอ้หมา มาก,1
หวังว่า กินข้าวหรือยัง,0
เพื่อนบอกว่า ยินดีด้วย,0
ทำไม ไอ้บ้า แบบนี้,1
เลิกทำตัว ไอ้หมา ได้แล้ว,1
เวรเอ้ย ว่ะ,1
คิดว่า คิดถึงนะ,0
ขอบคุณสำหรับความช่วยเหลือ มากเลย,0
หวังว่า ขอบคุณมาก,0
ไอ้ควาย มาก,1
มึงนี่ ไอ้เหี้ย,1
สัส ชิบหาย,1
ไอ้ควาย ว่ะ,1
ไอ้บ้า ว่ะ,1
ทำงานเสร็จหรือยัง มากเลย,0
มึงนี่ บัดซบ,1
หวังว่า กำลังดูหนังอยู่,0
วันนี้เรียนเป็นไงบ้าง นะ,0
อยากจะบอกว่า วันนี้อากาศดี,0
หมาเอ้ย ชิบหาย,1
ไอ้บัดซบ ว่ะ,1
โง่ มาก,1
รู้สึกว่า ขอบคุณสำหรับความช่วยเหลือ,0
ทำไม ไอ้ควาย แบบนี้,1
ทำงานเสร็จหรือยัง,0
ส้นตีน มาก,1
มึงโง่ ว่ะ,1
นี่มัน ไอ้ควาย ชัดๆ,1
หวังว่า เป็นกำลังใจให้,0
วันนี้ ไปเที่ยวกัน,0
มึงบ้า ชิบหาย,1
กำลังจะ เป็นกำลังใจให้,0
รู้สึกว่า ยินดีด้วย,0
มึงนี่ ควาย,1
เพื่อนบอกว่า ยินดีด้วย,0
ดูแลตัวเองด้วย นะ,0
ส้นตีน ว่ะ,1
แม่ง ควาย,1
นี่มัน ไอ้เวร ชัดๆ,1
โคตร ไอ้ส้นตีน เลย,1
เลิกทำตัว ไอ้หมา ได้แล้ว,1
คิดว่า ไปเที่ยวกัน,0
วันนี้ ไปเที่ยวกัน,0
แม่ง เหี้ย,1
โคตรห่วย ว่ะ,1
รู้สึกว่า ดีใจที่ได้เจอ,0
หวังว่า กินข้าวหรือยัง,0
สู้ๆนะ,0
มึงนี่ ไอ้บัดซบ,1
กำลังจะ ไปเที่ยวกัน,0
โคตร โง่ เลย,1
กำลังดูหนังอยู่ มากเลย,0
ดีใจที่ได้เจอ นะ,0
เพื่อนบอกว่า กินข้าวหรือยัง,0
ทำไม ไอ้ควาย แบบนี้,1
โคตร ไอ้เหี้ย เลย,1
เพื่อนบอกว่า คิดถึงนะ,0
นี่มัน ห่วยแตก ชัดๆ,1
ไอ้ควาย มาก,1
เวรเอ้ย ว่ะ,1
ขอบคุณมาก นะ,0
ทำไม ไอ้หมา แบบนี้,1
เลิกทำตัว บัดซบ ได้แล้ว,1
ทำไม ไอ้เวร แบบนี้,1
มึงนี่ มึงบ้า,1
คิดว่า ขอบคุณมาก,0
ไอ้บัดซบ มาก,1
บัดซบ จริงๆ,1
ทำไม ไอ้ส้นตีน แบบนี้,1
ทำไม ไอ้ควาย แบบนี้,1
เพื่อนบอกว่า ไปกินข้าวกันไหม,0
ขอให้โชคดี มากเลย,0
คิดว่า วันนี้อากาศดี,0
โง่ ชิบหาย,1
ทำงานเสร็จหรือยัง,0
ดูแลตัวเองด้วย มากเลย,0
โง่ จริงๆ,1
คิดว่า ทำงานเสร็จหรือยัง,0
โคตรห่วย ชิบหาย,1
ไอสัส ชิบหาย,1
พักผ่อนเยอะๆนะ มากเลย,0
มึงนี่ ไอ้บ้า,1
คิดว่า พักผ่อนเยอะๆนะ,0
อยากจะบอกว่า เจอกันพรุ่งนี้,0
มึงนี่ ห่วยแตก,1
วันนี้ ไปกินข้าวกันไหม,0
เกมนี้สนุกมาก,0
เพื่อนบอกว่า เจอกันพรุ่งนี้,0
เพื่อนบอกว่า กำลังดูหนังอยู่,0
โคตร โคตรห่วย เลย,1
คิดว่า วันนี้อากาศดี,0
อยากจะบอกว่า คิดถึงนะ,0
ไปกินข้าวกันไหม นะ,0
โคตร หมาเอ้ย เลย,1
อยากจะบอกว่า เป็นกำลังใจให้,0
กินข้าวหรือยัง นะ,0
รู้สึกว่า วันนี้อากาศดี,0
กำลังจะ กินข้าวหรือยัง,0
เลิกทำตัว ไอ้เวร ได้แล้ว,1
คิดว่า วันนี้อากาศดี,0
แม่ง บัดซบ,1
กำลังจะ ขอให้โชคดี,0
รู้สึกว่า ทำงานเสร็จหรือยัง,0
ไปเที่ยวกัน,0
รู้สึกว่า เกมนี้สนุกมาก,0
คิดว่า ดีใจที่ได้เจอ,0
นี่มัน ห่วยแตก ชัดๆ,1
กำลังจะ พักผ่อนเยอะๆนะ,0
แม่ง ไอ้บ้า,1
อยากจะบอกว่า วันนี้อากาศดี,0
ทำไม โง่ แบบนี้,1
นี่มัน เวรเอ้ย ชัดๆ,1
หวังว่า ขอให้โชคดี,0
ทำไม เวรเอ้ย แบบนี้,1
แม่ง หมาเอ้ย,1
กำลังจะ เป็นกำลังใจให้,0
ไอ้ควาย มาก,1
เลิกทำตัว ไอสัส ได้แล้ว,1
เลิกทำตัว สัส ได้แล้ว,1
นี่มัน ไอ้ส้นตีน ชัดๆ,1
ทำไม ส้นตีน แบบนี้,1
โคตร ส้นตีน เลย,1
วันนี้ ขอให้โชคดี,0
คิดว่า ไปเที่ยวกัน,0
กำลังดูหนังอยู่,0
ส้นตีน มาก,1
ไอ้ส้นตีน จริงๆ,1
นี่มัน ควาย ชัดๆ,1
วันนี้ ไปกินข้าวกันไหม,0
ขอบคุณมาก,0
มึงนี่ เหี้ย,1
ขอบคุณสำหรับความช่วยเหลือ มากเลย,0
ไอ้บัดซบ ชิบหาย,1
หวังว่า ดีใจที่ได้เจอ,0
กำลังจะ วันนี้เรียนเป็นไงบ้าง,0
ไอสัส ชิบหาย,1
เลิกทำตัว มึงบ้า ได้แล้ว,1
บัดซบ จริงๆ,1
มึงนี่ มึงโง่,1
ทำไม มึงบ้า แบบนี้,1
รู้สึกว่า ดูแลตัวเองด้วย,0
เลิกทำตัว ไอ้เวร ได้แล้ว,1
คิดถึงนะ มากเลย,0
วันนี้ กินข้าวหรือยัง,0
ทำไม ส้นตีน แบบนี้,1
ไอ้บ้า จริงๆ,1
โง่ ชิบหาย,1
วันนี้ เจอกันพรุ่งนี้,0
เจอกันพรุ่งนี้,0
ไอ้บัดซบ มาก,1
คิดว่า ขอให้โชคดี,0
วันนี้ ดีใจที่ได้เจอ,0
รู้สึกว่า คิดถึงนะ,0
แม่ง เหี้ย,1
ดูแลตัวเองด้วย มากเลย,0
คิดว่า ขอบคุณมาก,0
อยากจะบอกว่า สวัสดีครับ,0
สัส ว่ะ,1
มึงนี่ ไอสัส,1
นี่มัน มึงโง่ ชัดๆ,1
เป็นกำลังใจให้ นะ,0
เวรเอ้ย จริงๆ,1
ดีใจที่ได้เจอ,0
ทำไม ไอสัส แบบนี้,1
ทำไม ไอ้ส้นตีน แบบนี้,1
ทำไม ควาย แบบนี้,1
ดูแลตัวเองด้วย มากเลย,0
วันนี้ ดีใจที่ได้เจอ,0
วันนี้ วันนี้เรียนเป็นไงบ้าง,0
ดีใจที่ได้เจอ,0
คิดถึงนะ นะ,0
สวัสดีครับ นะ,0
โคตร บัดซบ เลย,1
ขอบคุณมาก นะ,0
วันนี้ เจอกันพรุ่งนี้,0
ไอ้บ้า มาก,1
เพื่อนบอกว่า พักผ่อนเยอะๆนะ,0
เพื่อนบอกว่า เป็นกำลังใจให้,0
แม่ง ไอสัส,1
ทำงานเสร็จหรือยัง,0
เพื่อนบอกว่า สวัสดีครับ,0
เลิกทำตัว หมาเอ้ย ได้แล้ว,1
ขอบคุณมาก มากเลย,0
เหี้ย มาก,1
เลิกทำตัว ไอ้หมา ได้แล้ว,1
เลิกทำตัว ไอ้เวร ได้แล้ว,1
วันนี้ คิดถึงนะ,0
ทำไม ไอ้หมา แบบนี้,1
มึงบ้า ว่ะ,1
ไอ้หมา มาก,1
กำลังจะ เป็นกำลังใจให้,0
แม่ง ไอ้บ้า,1
โคตรห่วย ว่ะ,1
คิดว่า ยินดีด้วย,0
คิดว่า ไปเที่ยวกัน,0
เลิกทำตัว สัส ได้แล้ว,1
เพื่อนบอกว่า กำลังดูหนังอยู่,0
อยากจะบอกว่า เกมนี้สนุกมาก,0
เพื่อนบอกว่า คิดถึงนะ,0
แม่ง ไอ้เวร,1
วันนี้ ขอบคุณมาก,0
ทำไม ไอ้ส้นตีน แบบนี้,1
รู้สึกว่า เจอกันพรุ่งนี้,0
เพื่อนบอกว่า สวัสดีครับ,0
เหี้ย มาก,1
เพื่อนบอกว่า ยินดีด้วย,0
โคตร ควาย เลย,1
ไอ้บ้า ว่ะ,1
มึงบ้า ว่ะ,1
นี่มัน ไอ้บัดซบ ชัดๆ,1
เพื่อนบอกว่า พักผ่อนเยอะๆนะ,0
ไอ้บ้า ว่ะ,1
โคตร ไอ้เวร เลย,1
โคตร สัส เลย,1
เพื่อนบอกว่า ดีใจที่ได้เจอ,0
โคตร โง่ เลย,1
ไปกินข้าวกันไหม,0
เวรเอ้ย ชิบหาย,1
มึงนี่ ไอ้บัดซบ,1
กำลังจะ วันนี้อากาศดี,0
แม่ง บัดซบ,1
สวัสดีครับ นะ,0
สวัสดีครับ มากเลย,0
เพื่อนบอกว่า ไปเที่ยวกัน,0
มึงนี่ เวรเอ้ย,1
ไอ้หมา ชิบหาย,1
โง่ มาก,1
คิดว่า สวัสดีครับ,0
อยากจะบอกว่า กำลังดูหนังอยู่,0
วันนี้ วันนี้เรียนเป็นไงบ้าง,0
หมาเอ้ย ชิบหาย,1
ควาย มาก,1
คิดว่า สู้ๆนะ,0
สัส ชิบหาย,1
ไอ้บ้า จริงๆ,1
มึงนี่ สัส,1
อยากจะบอกว่า เกมนี้สนุกมาก,0
เพื่อนบอกว่า ทำงานเสร็จหรือยัง,0
รู้สึกว่า คิดถึงนะ,0
ขอให้โชคดี มากเลย,0
ไอ้บัดซบ ชิบหาย,1
วันนี้ วันนี้อากาศดี,0
เพื่อนบอกว่า ไปเที่ยวกัน,0
หวังว่า ยินดีด้วย,0
สู้ๆนะ นะ,0
นี่มัน ไอ้ส้นตีน ชัดๆ,1
แม่ง สัส,1
แม่ง ไอ้ควาย,1
สวัสดีครับ มากเลย,0
กำลังจะ วันนี้เรียนเป็นไงบ้าง,0
ทำงานเสร็จหรือยัง นะ,0
หวังว่า เป็นกำลังใจให้,0
เพื่อนบอกว่า วันนี้อากาศดี,0
ดูแลตัวเองด้วย,0
คิดว่า ทำงานเสร็จหรือยัง,0
วันนี้อากาศดี,0
นี่มัน บัดซบ ชัดๆ,1
กินข้าวหรือยัง มากเลย,0
วันนี้ พักผ่อนเยอะๆนะ,0
วันนี้อากาศดี นะ,0
โคตร ไอ้ควาย เลย,1
วันนี้ ทำงานเสร็จหรือยัง,0
แม่ง มึงโง่,1
สัส ชิบหาย,1
บัดซบ มาก,1
ทำไม โง่ แบบนี้,1
ทำไม มึงบ้า แบบนี้,1
กำลังจะ คิดถึงนะ,0
วันนี้ ขอบคุณสำหรับความช่วยเหลือ,0
หวังว่า ไปกินข้าวกันไหม,0
แม่ง มึงบ้า,1
ทำไม เหี้ย แบบนี้,1
โคตร ไอ้บัดซบ เลย,1
วันนี้ เกมนี้สนุกมาก,0
ทำไม ไอ้บัดซบ แบบนี้,1
อยากจะบอกว่า เจอกันพรุ่งนี้,0
ไอ้บ้า ชิบหาย,1
กำลังจะ ขอให้โชคดี,0
หวังว่า ขอบคุณสำหรับความช่วยเหลือ,0
ไอ้ส้นตีน จริงๆ,1
ทำไม เวรเอ้ย แบบนี้,1
เลิกทำตัว เหี้ย ได้แล้ว,1
คิดว่า เจอกันพรุ่งนี้,0
ยินดีด้วย,0
คิดว่า ดูแลตัวเองด้วย,0
ขอบคุณสำหรับความช่วยเหลือ มากเลย,0
ไปกินข้าวกันไหม นะ,0
กินข้าวหรือยัง มากเลย,0
อยากจะบอกว่า สวัสดีครับ,0
เลิกทำตัว โง่ ได้แล้ว,1
มึงนี่ บัดซบ,1
มึงนี่ ไอ้เหี้ย,1
โคตร ไอ้เหี้ย เลย,1
ทำไม สัส แบบนี้,1
ห่วยแตก ว่ะ,1
ไอ้บัดซบ ชิบหาย,1
โคตรห่วย จริงๆ,1
อยากจะบอกว่า ไปเที่ยวกัน,0
แม่ง สัส,1
รู้สึกว่า ดีใจที่ได้เจอ,0
เพื่อนบอกว่า กำลังดูหนังอยู่,0
รู้สึกว่า ขอให้โชคดี,0
ส้นตีน ว่ะ,1
รู้สึกว่า เจอกันพรุ่งนี้,0
กำลังจะ ขอบคุณมาก,0
อยากจะบอกว่า ทำงานเสร็จหรือยัง,0
โคตรห่วย ชิบหาย,1
รู้สึกว่า ทำงานเสร็จหรือยัง,0
ไอสัส ชิบหาย,1
ไอสัส จริงๆ,1
แม่ง บัดซบ,1
หวังว่า ไปกินข้าวกันไหม,0
อยากจะบอกว่า ดีใจที่ได้เจอ,0
ห่วยแตก ชิบหาย,1
วันนี้อากาศดี มากเลย,0
นี่มัน ไอ้เวร ชัดๆ,1
โคตร เหี้ย เลย,1
ไอ้เหี้ย มาก,1
ขอบคุณสำหรับความช่วยเหลือ นะ,0
เลิกทำตัว ไอ้บ้า ได้แล้ว,1
เพื่อนบอกว่า ขอบคุณสำหรับความช่วยเหลือ,0
หวังว่า วันนี้อากาศดี,0
เป็นกำลังใจให้,0
บัดซบ จริงๆ,1
ควาย ว่ะ,1
บัดซบ ชิบหาย,1
ส้นตีน ชิบหาย,1
เจอกันพรุ่งนี้,0
หมาเอ้ย มาก,1
ไอ้เวร ว่ะ,1
วันนี้ วันนี้เรียนเป็นไงบ้าง,0
ควาย ชิบหาย,1
อยากจะบอกว่า ดูแลตัวเองด้วย,0
โคตรห่วย ชิบหาย,1
ไอ้ส้นตีน จริงๆ,1
แม่ง มึงบ้า,1
แม่ง ไอ้หมา,1
เหี้ย จริงๆ,1
เลิกทำตัว มึงบ้า ได้แล้ว,1
นี่มัน มึงโง่ ชัดๆ,1
หวังว่า เกมนี้สนุกมาก,0
แม่ง ไอสัส,1
คิดว่า ขอบคุณมาก,0
เวรเอ้ย จริงๆ,1
แม่ง ไอ้เวร,1
โคตร ไอ้เวร เลย,1
ไอ้บัดซบ มาก,1
คิดว่า ยินดีด้วย,0
รู้สึกว่า ไปกินข้าวกันไหม,0
โคตร หมาเอ้ย เลย,1
ควาย จริงๆ,1
วันนี้ กินข้าวหรือยัง,0
นี่มัน มึงบ้า ชัดๆ,1
กำลังจะ คิดถึงนะ,0
มึงนี่ บัดซบ,1
วันนี้อากาศดี นะ,0
วันนี้ วันนี้เรียนเป็นไงบ้าง,0
ขอบคุณมาก นะ,0
สู้ๆนะ นะ,0
เพื่อนบอกว่า ขอให้โชคดี,0
มึงนี่ ไอสัส,1
ทำไม โคตรห่วย แบบนี้,1
เกมนี้สนุกมาก นะ,0
กำลังดูหนังอยู่ นะ,0
เจอกันพรุ่งนี้ มากเลย,0
เลิกทำตัว เวรเอ้ย ได้แล้ว,1
กำลังจะ ขอบคุณสำหรับความช่วยเหลือ,0
ทำไม ไอ้บัดซบ แบบนี้,1
นี่มัน ไอ้เวร ชัดๆ,1
คิดว่า สู้ๆนะ,0
โคตร เวรเอ้ย เลย,1
ไปกินข้าวกันไหม,0
คิดว่า ไปกินข้าวกันไหม,0
รู้สึกว่า กินข้าวหรือยัง,0
รู้สึกว่า ขอให้โชคดี,0
แม่ง ควาย,1
แม่ง โง่,1
เวรเอ้ย ชิบหาย,1
รู้สึกว่า เป็นกำลังใจให้,0
กำลังจะ สู้ๆนะ,0
โคตร ไอสัส เลย,1
เหี้ย ว่ะ,1
หวังว่า เจอกันพรุ่งนี้,0
แม่ง โง่,1
เกมนี้สนุกมาก มากเลย,0
ไอ้ควาย จริงๆ,1
กำลังดูหนังอยู่ มากเลย,0
รู้สึกว่า เจอกันพรุ่งนี้,0
ขอบคุณสำหรับความช่วยเหลือ,0
ขอบคุณมาก,0
แม่ง เหี้ย,1
ทำไม เหี้ย แบบนี้,1
อยากจะบอกว่า พักผ่อนเยอะๆนะ,0
เหี้ย มาก,1
วันนี้ สวัสดีครับ,0
เลิกทำตัว ไอ้บัดซบ ได้แล้ว,1
ไอ้เวร มาก,1
แม่ง ไอ้ส้นตีน,1
ทำไม ไอ้ส้นตีน แบบนี้,1
เหี้ย ว่ะ,1
เพื่อนบอกว่า วันนี้อากาศดี,0
ส้นตีน จริงๆ,1
กำลังจะ ดีใจที่ได้เจอ,0
คิดว่า เป็นกำลังใจให้,0
รู้สึกว่า ทำงานเสร็จหรือยัง,0
เวรเอ้ย จริงๆ,1
เลิกทำตัว บัดซบ ได้แล้ว,1
มึงนี่ ไอ้เหี้ย,1
วันนี้ ทำงานเสร็จหรือยัง,0
รู้สึกว่า สวัสดีครับ,0
นี่มัน ไอ้หมา ชัดๆ,1
เพื่อนบอกว่า เป็นกำลังใจให้,0
หวังว่า ไปเที่ยวกัน,0
กำลังจะ เป็นกำลังใจให้,0
คิดว่า ดีใจที่ได้เจอ,0
เลิกทำตัว มึงบ้า ได้แล้ว,1
ไปกินข้าวกันไหม นะ,0
เลิกทำตัว บัดซบ ได้แล้ว,1
รู้สึกว่า ดูแลตัวเองด้วย,0
มึงนี่ ไอ้ส้นตีน,1
มึงนี่ ไอสัส,1
คิดว่า คิดถึงนะ,0
วันนี้ กินข้าวหรือยัง,0
โคตร ไอ้เวร เลย,1
โง่ ชิบหาย,1
ทำไม ไอ้เหี้ย แบบนี้,1
ทำไม บัดซบ แบบนี้,1
กำลังจะ คิดถึงนะ,0
วันนี้ พักผ่อนเยอะๆนะ,0
มึงโง่ จริงๆ,1
โคตร ไอ้เวร เลย,1
วันนี้ คิดถึงนะ,0
กำลังจะ สู้ๆนะ,0
นี่มัน ห่วยแตก ชัดๆ,1
สัส มาก,1
โคตร หมาเอ้ย เลย,1
แม่ง สัส,1
แม่ง โคตรห่วย,1
ไอ้เหี้ย ชิบหาย,1
วันนี้ สวัสดีครับ,0
แม่ง โคตรห่วย,1
แม่ง ไอ้บ้า,1
ไปเที่ยวกัน นะ,0
กำลังดูหนังอยู่,0
ไอ้เหี้ย ชิบหาย,1
นี่มัน ไอ้หมา ชัดๆ,1
รู้สึกว่า ดีใจที่ได้เจอ,0
มึงนี่ ส้นตีน,1
เป็นกำลังใจให้,0
รู้สึกว่า พักผ่อนเยอะๆนะ,0
มึงนี่ ไอ้เวร,1
เพื่อนบอกว่า ทำงานเสร็จหรือยัง,0
สวัสดีครับ มากเลย,0
อยากจะบอกว่า สวัสดีครับ,0
ไอ้บ้า ชิบหาย,1
มึงนี่ ไอ้ควาย,1
วันนี้อากาศดี นะ,0
กำลังจะ กำลังดูหนังอยู่,0
นี่มัน สัส ชัดๆ,1
แม่ง ควาย,1
คิดว่า เป็นกำลังใจให้,0
